image_name,mpi_nprocess,omp_nthread,nimages,load_time,sobel_time,store_time,work_mode
images/original/Mandelbrot-large.gif,1,5,20,0.250522,1.120217,3.198022,single
images/original/porsche.gif,1,5,1,0.000675,0.001374,0.001384,single
images/original/Produits_sous_linux.gif,1,5,1,0.008895,0.031243,0.012502,single
images/original/TimelyHugeGnu.gif,1,5,19,0.059967,0.126416,0.572232,single
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,1,5,10,0.023444,0.122673,0.600820,single
images/original/051009.vince.gif,1,6,1,0.020741,0.064866,0.297342,single
images/original/1.gif,1,6,10,0.023685,0.089436,0.186251,single
images/original/200_s.gif,1,6,1,0.000395,0.000435,0.000627,single
images/original/9815573.gif,1,6,10,0.018133,0.039125,0.098566,single
images/original/australian-flag-large.gif,1,6,1,0.006081,0.030969,0.027472,single
images/original/Campusplan-Hausnr.gif,1,6,1,0.504322,4.030860,0.957552,single
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,1,6,1,0.477628,4.201252,2.937209,single
images/original/fire.gif,1,6,33,0.000944,0.000477,0.002060,single
images/original/frame_002.gif,1,6,1,0.002326,0.003622,0.004042,single
images/original/giphy-3.gif,1,6,5,0.136971,0.438195,1.300504,single
images/original/Mandelbrot-large.gif,1,6,20,0.242923,0.947855,3.178757,single
images/original/porsche.gif,1,6,1,0.000671,0.001290,0.001107,single
images/original/Produits_sous_linux.gif,1,6,1,0.008085,0.027069,0.011754,single
images/original/TimelyHugeGnu.gif,1,6,19,0.063530,0.099694,0.641847,single
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,1,6,10,0.024588,0.099368,0.606501,single
images/original/051009.vince.gif,1,7,1,0.020862,0.055759,0.295740,single
images/original/1.gif,1,7,10,0.024867,0.083820,0.189232,single
images/original/200_s.gif,1,7,1,0.000402,0.000374,0.000775,single
images/original/9815573.gif,1,7,10,0.017860,0.035181,0.107138,single
images/original/australian-flag-large.gif,1,7,1,0.006099,0.027607,0.028017,single
images/original/Campusplan-Hausnr.gif,1,7,1,0.533039,3.702183,1.012629,single
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,1,7,1,0.528812,4.056532,3.092548,single
images/original/fire.gif,1,7,33,0.001009,0.000435,0.002125,single
images/original/frame_002.gif,1,7,1,0.002316,0.003226,0.004184,single
images/original/giphy-3.gif,1,7,5,0.142348,0.381503,1.315871,single
images/original/Mandelbrot-large.gif,1,7,20,0.240829,0.848619,3.082258,single
images/original/porsche.gif,1,7,1,0.000656,0.001032,0.001087,single
images/original/Produits_sous_linux.gif,1,7,1,0.007999,0.024136,0.011484,single
images/original/TimelyHugeGnu.gif,1,7,19,0.061603,0.095826,0.597042,single
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,1,7,10,0.024342,0.091294,0.627414,single
images/original/051009.vince.gif,1,8,1,0.020596,0.054968,0.342770,single
images/original/1.gif,1,8,10,0.023537,0.086573,0.198791,single
images/original/200_s.gif,1,8,1,0.000403,0.012649,0.000676,single
images/original/9815573.gif,1,8,10,0.017737,0.046165,0.104278,single
images/original/australian-flag-large.gif,1,8,1,0.005924,0.116317,0.029597,single
images/original/Campusplan-Hausnr.gif,1,8,1,0.540368,3.734179,0.982122,single
images/original/Campusplan-Mobilitaetsbeschraenkte.gif,1,8,1,0.522175,3.846315,3.001521,single
images/original/fire.gif,1,8,33,0.000991,0.000414,0.002699,single
images/original/frame_002.gif,1,8,1,0.002282,0.004227,0.004085,single
images/original/giphy-3.gif,1,8,5,0.142927,0.347517,1.240106,single
images/original/Mandelbrot-large.gif,1,8,20,0.256627,0.783219,3.298289,single
images/original/porsche.gif,1,8,1,0.000651,0.000885,0.001217,single
images/original/Produits_sous_linux.gif,1,8,1,0.007930,0.022429,0.011683,single
images/original/TimelyHugeGnu.gif,1,8,19,0.071053,0.085864,0.569817,single
images/original/tumblr_myxlbtwVEb1qzt4vjo1_r14_500_large.gif,1,8,10,0.023648,0.150984,0.599001,single
